id,capability,feature,startDate,endDate
1,Immigration,Immigration Access Management,09/07/2025,30/09/2025
2,Briefing Pack Manager,SSQs,09/07/2025,30/06/2026
3,Briefing Pack Manager,PAs,09/07/2025,30/06/2026
4,Briefing Pack Manager,Flight Instructions,09/07/2025,30/06/2026
5,Monitoring & Admin,CDM Report Automation,01/10/2025,06/01/2026
6,Monitoring & Admin,Ops Overview,01/10/2025,06/01/2026
7,Immigration,Improvements to manual immigration  ,01/10/2025,06/01/2026
8,Immigration,Improvements to manual immigration  ,01/10/2025,06/01/2026
9,Monitoring & Admin,Departure Worksheet Automation,07/01/2026,31/03/2026
10,Monitoring & Admin,COC Report Automation,07/01/2026,31/03/2026
11,Monitoring & Admin,No Show auto-calling with Anywhere 365,07/01/2026,31/03/2026
12,Monitoring & Admin,Variable Crew Manning (VCM) & Supernumerary Crew (SUPY),07/01/2026,31/03/2026
13,Briefing,VIP / Invite-Only / Skywards Gold / Skywards Platinum pax. Info,07/01/2026,31/03/2026
14,Briefing,Flight route graphic showing turbulence,07/01/2026,31/03/2026
15,Monitoring & Admin,Landside Transport (live tracking),07/01/2026,31/03/2026
,,,,
,,,,
